Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year ,2,8801,2051.4,7024878.38,22882.34,0.796086957
Arhar/Tur,1997,Kharif     ,2,3730,2051.4,631643.29,2057.47,0.710434783
Castor seed,1997,Kharif     ,2,772,2051.4,75755.32,246.76,0.238333333
Coconut ,1997,Whole Year ,2,6105,2051.4,1870661.52,6093.36,5238.051739
Cotton(lint),1997,Kharif     ,2,1517,2051.4,165500.63,539.09,0.420909091
Dry chillies,1997,Whole Year ,2,5264,2051.4,1293074.79,4211.97,0.643636364
Gram,1997,Rabi       ,2,2273,2051.4,283511.43,923.49,0.465454545
Jute,1997,Kharif     ,2,9296,2051.4,8995468.4,29301.2,9.919565217
Linseed,1997,Rabi       ,2,4631,2051.4,961026.66,3130.38,0.461363636
Maize,1997,Kharif     ,2,6052,2051.4,1828786.72,5956.96,0.615652174
Mesta,1997,Kharif     ,2,3498,2051.4,562930.55,1833.65,4.568947368
Niger seed,1997,Whole Year ,2,4586,2051.4,943515.38,3073.34,0.482352941
Onion,1997,Whole Year ,2,4100,2051.4,745371.44,2427.92,2.342608696
Other  Rabi pulses,1997,Rabi       ,2,9625,2051.4,10306625.49,33572.07,0.520869565
Potato,1997,Whole Year ,2,8850,2051.4,7162399.03,23330.29,7.561304348
Rapeseed &Mustard,1997,Rabi       ,2,11268,2051.4,26580219.64,86580.52,0.554782609
Rice,1997,Autumn     ,2,12381,2051.4,57802260.86,188280.98,0.780869565
Rice,1997,Summer     ,2,10511,2051.4,16652275.58,54241.94,1.060434783
Rice,1997,Winter     ,2,13159,2051.4,165911859.6,540429.51,0.941304348
Sesamum,1997,Whole Year ,2,5596,2051.4,1500355.05,4887.15,0.487391304
Small millets,1997,Kharif     ,2,4703,2051.4,998333.3,3251.9,0.473
Sugarcane,1997,Kharif     ,2,7084,2051.4,2980534.06,9708.58,41.89695652
Sweet potato,1997,Whole Year ,2,4468,2051.4,892694.6,2907.8,3.440434783
Tapioca,1997,Whole Year ,2,1974,2051.4,234594.05,764.15,4.41826087
Tobacco,1997,Whole Year ,2,449,2051.4,41208.61,134.23,0.38
Turmeric,1997,Whole Year ,2,4622,2051.4,958457.07,3122.01,0.67
Wheat,1997,Rabi       ,2,9072,2051.4,8060708.66,26256.38,1.25952381
Arecanut,1997,Whole Year ,12,9262,1266.7,8860327.0,28861.0,1.293571429
Arhar/Tur,1997,Kharif     ,12,11915,1266.7,40143657.7,130761.1,0.268235294
Bajra,1997,Kharif     ,12,11405,1266.7,28660350.33,93356.19,0.404545455
Bajra,1997,Summer     ,12,796,1266.7,78039.4,254.2,0.81
Black pepper,1997,Kharif     ,12,2671,1266.7,364025.25,1185.75,0.4375
Cardamom,1997,Whole Year ,12,6279,1266.7,2020459.1,6581.3,0.058571429
Coriander,1997,Whole Year ,12,5817,1266.7,1648058.89,5368.27,0.121333333
Dry chillies,1997,Kharif     ,12,10609,1266.7,17756723.43,57839.49,1.078333333
Dry chillies,1997,Rabi       ,12,3014,1266.7,434451.05,1415.15,1.869444444
Garlic,1997,Whole Year ,12,3196,1266.7,481655.37,1568.91,1.585
Ginger,1997,Kharif     ,12,2586,1266.7,344420.23,1121.89,1.262307692
Groundnut,1997,Kharif     ,12,12715,1266.7,80672373.22,262776.46,0.709411765
Groundnut,1997,Rabi       ,12,10659,1266.7,18312230.72,59648.96,1.133333333
Horse-gram,1997,Kharif     ,12,10548,1266.7,17023248.24,55450.32,0.45
Horse-gram,1997,Rabi       ,12,10384,1266.7,15529174.41,50583.63,0.514705882
Jowar,1997,Kharif     ,12,11789,1266.7,37086797.3,120803.9,1.228
Jowar,1997,Rabi       ,12,13084,1266.7,142866539.2,465363.32,0.510714286
Jowar,1997,Summer     ,12,3572,1266.7,584058.29,1902.47,2.470909091
Maize,1997,Kharif     ,12,12124,1266.7,47851190.49,155867.07,2.687777778
Maize,1997,Rabi       ,12,7906,1266.7,4648483.48,15141.64,1.98
Maize,1997,Summer     ,12,4543,1266.7,926004.1,3016.3,2.165714286
Ragi,1997,Kharif     ,12,12769,1266.7,85455141.57,278355.51,1.191333333
Ragi,1997,Rabi       ,12,6771,1266.7,2579487.68,8402.24,1.312222222
Ragi,1997,Summer     ,12,5257,1266.7,1286793.57,4191.51,1.847777778
Rice,1997,Kharif     ,12,12865,1266.7,98170710.1,319774.3,2.2335
Rice,1997,Rabi       ,12,8126,1266.7,5128616.13,16705.59,2.073846154
Rice,1997,Summer     ,12,11194,1266.7,25509747.48,83093.64,2.829444444
Sugarcane,1997,Whole Year ,12,11442,1266.7,29393920.69,95745.67,91.74736842
Turmeric,1997,Whole Year ,12,2916,1266.7,413228.14,1346.02,4.452941176
Wheat,1997,Rabi       ,12,11072,1266.7,23858928.66,77716.38,0.548333333
Arecanut,1997,Whole Year ,13,8873,3252.4,7246719.65,23604.95,1.147857143
Black pepper,1997,Whole Year ,13,10501,3252.4,16545780.35,53895.05,0.240714286
Cashewnut,1997,Whole Year ,13,9333,3252.4,9143267.41,29782.63,0.589285714
Coconut ,1997,Whole Year ,13,12760,3252.4,84163018.48,274146.64,5376.054286
Tapioca,1997,Whole Year ,13,10014,3252.4,12645713.75,41191.25,22.80357143
Arecanut,1997,Whole Year ,17,4500,3818.2,910681.73,2966.39,1.245714286
Arhar/Tur,1997,Kharif     ,17,835,3818.2,82322.05,268.15,0.806666667
Banana,1997,Whole Year ,17,3257,3818.2,498595.63,1624.09,11.20714286
Castor seed,1997,Rabi       ,17,40,3818.2,2855.1,9.3,0.49
Cotton(lint),1997,Kharif     ,17,4039,3818.2,717962.48,2338.64,0.796666667
Dry chillies,1997,Whole Year ,17,1534,3818.2,168070.22,547.46,0.64
Ginger,1997,Kharif     ,17,3977,3818.2,700165.69,2280.67,6.054285714
Gram,1997,Rabi       ,17,459,3818.2,42160.31,137.33,0.613333333
Jute,1997,Kharif     ,17,2866,3818.2,403806.31,1315.33,8.436666667
Linseed,1997,Kharif     ,17,61,3818.2,4758.5,15.5,0.44
Maize,1997,Kharif     ,17,5798,3818.2,1634544.75,5324.25,1.444285714
Mesta,1997,Kharif     ,17,3054,3818.2,446156.96,1453.28,4.68
Mesta,1997,Whole Year ,17,831,3818.2,81941.37,266.91,0.7525
Other  Rabi pulses,1997,Rabi       ,17,1633,3818.2,181679.53,591.79,0.777142857
Potato,1997,Whole Year ,17,6238,3818.2,1976109.88,6436.84,8.641428571
Rapeseed &Mustard,1997,Rabi       ,17,3810,3818.2,658005.38,2143.34,0.608571429
Rice,1997,Kharif     ,17,9555,3818.2,10009028.9,32602.7,1.378571429
Sesamum,1997,Kharif     ,17,1212,3818.2,126195.42,411.06,0.575714286
Small millets,1997,Kharif     ,17,2163,3818.2,266856.68,869.24,0.861428571
Soyabean,1997,Kharif     ,17,865,3818.2,85462.66,278.38,0.921428571
Sugarcane,1997,Whole Year ,17,96,3818.2,7803.94,25.42,2.352
Sweet potato,1997,Whole Year ,17,3246,3818.2,496026.04,1615.72,3.221428571
Tapioca,1997,Whole Year ,17,2731,3818.2,376778.03,1227.29,6.537142857
Tobacco,1997,Rabi       ,17,726,3818.2,70616.14,230.02,0.618
Turmeric,1997,Whole Year ,17,1268,3818.2,133333.17,434.31,5.425714286
Wheat,1997,Rabi       ,17,2883,3818.2,407993.79,1328.97,1.385
Arecanut,1997,Whole Year ,29,4141,1852.9,766879.86,2497.98,1.691764706
Arhar/Tur,1997,Whole Year ,29,2592,1852.9,345467.1,1125.3,0.777692308
Bajra,1997,Kharif     ,29,230,1852.9,19700.19,64.17,0.426666667
Barley,1997,Whole Year ,29,3564,1852.9,582059.72,1895.96,1.68
Cardamom,1997,Whole Year ,29,2101,1852.9,254484.58,828.94,0.0
Castor seed,1997,Whole Year ,29,655,1852.9,62812.2,204.6,0.07
Coconut ,1997,Whole Year ,29,6515,1852.9,2310061.41,7524.63,13003.78778
Cotton(lint),1997,Kharif     ,29,6677,1852.9,2474420.0,8060.0,2.0
Dry chillies,1997,Whole Year ,29,8508,1852.9,6094115.78,19850.54,0.942777778
Gram,1997,Rabi       ,29,6635,1852.9,2425407.45,7900.35,0.5975
Groundnut,1997,Whole Year ,29,6962,1852.9,2818459.55,9180.65,1.13
Horse-gram,1997,Kharif     ,29,3401,1852.9,537234.65,1749.95,0.438888889
Jowar,1997,Whole Year ,29,905,1852.9,90221.16,293.88,0.482
Jute,1997,Kharif     ,29,12456,1852.9,61058597.58,198887.94,13.44588235
Khesari,1997,Rabi       ,29,6614,1852.9,2404089.37,7830.91,1.095882353
Linseed,1997,Whole Year ,29,5705,1852.9,1568972.62,5110.66,0.251538462
Maize,1997,Whole Year ,29,7320,1852.9,3375584.73,10995.39,2.658461538
Masoor,1997,Rabi       ,29,8009,1852.9,4872894.34,15872.62,0.662352941
Mesta,1997,Kharif     ,29,4532,1852.9,922102.13,3003.59,9.154166667
Moong(Green Gram),1997,Kharif     ,29,1335,1852.9,141803.3,461.9,0.548888889
Moong(Green Gram),1997,Rabi       ,29,2419,1852.9,311110.73,1013.39,0.542857143
Moong(Green Gram),1997,Summer     ,29,4599,1852.9,947798.03,3087.29,0.046
Niger seed,1997,Rabi       ,29,13643,1852.9,4835406877.0,15750511.0,0.698888889
Niger seed,1997,Whole Year ,29,3685,1852.9,619747.04,2018.72,0.40375
